ID,Injury_Date,Total_Injuries,OBJECTID
168,2011/02/05 00:00:00,1,167
169,2011/03/10 00:00:00,1,168
170,2011/04/04 00:00:00,1,169
171,2011/04/14 00:00:00,1,170
172,2011/04/30 00:00:00,1,171
173,2011/05/06 00:00:00,1,172
174,2011/06/07 00:00:00,1,173
175,2011/06/19 00:00:00,1,174
176,2011/06/28 00:00:00,1,175
177,2011/07/19 00:00:00,1,176
178,2011/07/28 00:00:00,2,177
179,2011/08/13 00:00:00,2,178
180,2011/08/22 00:00:00,1,179
181,2011/08/23 00:00:00,4,180
182,2011/08/25 00:00:00,1,181
183,2011/08/27 00:00:00,1,182
184,2011/10/09 00:00:00,1,183
185,2011/10/13 00:00:00,1,184
186,2011/11/06 00:00:00,1,185
187,2011/11/23 00:00:00,7,186
188,2011/12/06 00:00:00,1,187
189,2011/12/10 00:00:00,1,188
190,2011/12/19 00:00:00,2,189
191,2012/01/01 00:00:00,1,190
192,2012/01/03 00:00:00,1,191
193,2012/01/22 00:00:00,3,192
194,2012/01/26 00:00:00,1,193
195,2012/01/29 00:00:00,3,194
196,2012/02/29 00:00:00,3,195
197,2012/03/13 00:00:00,1,196
198,2012/03/18 00:00:00,1,197
199,2012/03/20 00:00:00,1,198
200,2012/03/22 00:00:00,1,199
201,2012/05/30 00:00:00,1,200
202,2012/06/07 00:00:00,1,201
203,2012/06/17 00:00:00,2,202
204,2012/06/22 00:00:00,1,203
205,2012/06/27 00:00:00,1,204
206,2012/07/19 00:00:00,2,205
207,2012/07/31 00:00:00,1,206
208,2012/08/08 00:00:00,1,207
209,2012/08/27 00:00:00,1,208
210,2012/09/05 00:00:00,1,209
211,2012/09/22 00:00:00,1,210
212,2012/11/02 00:00:00,1,211
213,2012/11/06 00:00:00,1,212
214,2012/12/08 00:00:00,1,213
215,2012/12/18 00:00:00,1,214
216,2012/12/27 00:00:00,1,215
217,2013/01/19 00:00:00,1,216
218,2013/01/20 00:00:00,1,217
219,2013/02/05 00:00:00,2,218
220,2013/02/11 00:00:00,1,219
221,2013/02/16 00:00:00,1,220
222,2013/02/22 00:00:00,1,221
223,2013/03/25 00:00:00,1,222
224,2013/04/29 00:00:00,1,223
225,2013/05/24 00:00:00,1,224
226,2013/05/30 00:00:00,1,225
227,2013/05/31 00:00:00,4,226
228,2013/06/16 00:00:00,1,227
229,2013/06/26 00:00:00,1,228
230,2013/07/01 00:00:00,1,229
231,2013/07/04 00:00:00,1,230
232,2013/07/28 00:00:00,1,231
233,2013/08/05 00:00:00,1,232
234,2013/08/29 00:00:00,1,233
235,2013/09/04 00:00:00,1,234
236,2013/10/13 00:00:00,1,235
237,2013/10/19 00:00:00,1,236
